,title,domestic_gross,foreign_gross,total_gross
0,Toy Story 3,415000000.0,652000000.0,1067000000.0
1,Alice in Wonderland (2010),334200000.0,691300000.0,1025500000.0
2,Harry Potter and the Deathly Hallows Part 1,296000000.0,664300000.0,960300000.0
3,Inception,292600000.0,535700000.0,828300000.0
4,Shrek Forever After,238700000.0,513900000.0,752600000.0
5,The Twilight Saga: Eclipse,300500000.0,398000000.0,698500000.0
6,Iron Man 2,312400000.0,311500000.0,623900000.0
7,Tangled,200800000.0,391000000.0,591800000.0
8,Despicable Me,251500000.0,291600000.0,543100000.0
9,How to Train Your Dragon,217600000.0,277300000.0,494900000.0
10,Clash of the Titans (2010),163200000.0,330000000.0,493200000.0
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,104400000.0,311300000.0,415700000.0
12,The King's Speech,135500000.0,275400000.0,410900000.0
13,Tron Legacy,172100000.0,228000000.0,400100000.0
14,The Karate Kid,176600000.0,182500000.0,359100000.0
15,Prince of Persia: The Sands of Time,90800000.0,245600000.0,336400000.0
16,Black Swan,107000000.0,222400000.0,329400000.0
17,Megamind,148400000.0,173500000.0,321900000.0
18,Robin Hood,105300000.0,216400000.0,321700000.0
19,The Last Airbender,131800000.0,187900000.0,319700000.0
20,Little Fockers,148400000.0,162200000.0,310600000.0
21,Resident Evil: Afterlife,60100000.0,240100000.0,300200000.0
22,Shutter Island,128000000.0,166800000.0,294800000.0
23,Salt,118300000.0,175200000.0,293500000.0
24,Sex and the City 2,95300000.0,193000000.0,288300000.0
25,The Tourist,67600000.0,210700000.0,278300000.0
26,The Expendables,103100000.0,171400000.0,274500000.0
27,Grown Ups,162000000.0,109400000.0,271400000.0
28,Knight & Day,76400000.0,185500000.0,261900000.0
29,True Grit,171200000.0,81000000.0,252200000.0
30,Gulliver's Travels,42800000.0,194600000.0,237400000.0
31,Percy Jackson & The Olympians: The Lightning Thief,88800000.0,137700000.0,226500000.0
32,The Social Network,97000000.0,128000000.0,225000000.0
33,Valentine's Day,110500000.0,106000000.0,216500000.0
34,The Sorcerer's Apprentice,63200000.0,152100000.0,215300000.0
35,Due Date,100500000.0,111200000.0,211700000.0
36,Eat Pray Love,80600000.0,124000000.0,204600000.0
37,Yogi Bear,100200000.0,101300000.0,201500000.0
38,Red,90400000.0,108600000.0,199000000.0
39,Paranormal Activity 2,84800000.0,92800000.0,177600000.0
40,The A-Team,77200000.0,100000000.0,177200000.0
41,Jackass 3-D,117200000.0,54500000.0,171700000.0
42,The Other Guys,119200000.0,51200000.0,170400000.0
43,Unstoppable,81600000.0,86200000.0,167800000.0
44,Step Up 3-D,42400000.0,116900000.0,159300000.0
45,The Book of Eli,94800000.0,62300000.0,157100000.0
46,The Town,92200000.0,61800000.0,154000000.0
47,Date Night,98700000.0,53600000.0,152300000.0
48,Legend of the Guardians: The Owls of Ga'Hoole,55700000.0,84400000.0,140100000.0
49,The Wolfman,62000000.0,77800000.0,139800000.0
50,The Bounty Hunter,67099999.0,69300000.0,136399999.0
51,Saw 3D,45700000.0,90400000.0,136100000.0
52,Wall Street: Money Never Sleeps,52500000.0,82300000.0,134800000.0
53,The Fighter,93600000.0,35600000.0,129200000.0
54,Predators,52000000.0,75200000.0,127200000.0
55,A Nightmare on Elm Street (2010),63100000.0,52600000.0,115700000.0
56,Dear John,80000000.0,35000000.0,115000000.0
57,Cats & Dogs: The Revenge of Kitty Galore,43600000.0,68900000.0,112500000.0
58,Tooth Fairy,60000000.0,52400000.0,112400000.0
59,Life as We Know It,53400000.0,52300000.0,105700000.0
60,Hereafter,32700000.0,72500000.0,105200000.0
61,The Girl with the Dragon Tattoo,10100000.0,94300000.0,104400000.0
62,Love and Other Drugs,32400000.0,70500000.0,102900000.0
63,Aftershock (Tangshan Dadizhen),63000.0,100200000.0,100263000.0
64,Killers,47100000.0,51100000.0,98200000.0
65,Kick-Ass,48100000.0,48100000.0,96200000.0
66,Green Zone,35100000.0,59800000.0,94900000.0
67,Nanny McPhee Returns,29000000.0,64200000.0,93200000.0
68,Get Him to the Greek,61000000.0,30300000.0,91300000.0
69,Burlesque,39400000.0,50100000.0,89500000.0
70,The Last Song,63000000.0,26100000.0,89100000.0
71,Dinner for Schmucks,73000000.0,13800000.0,86800000.0
72,Marmaduke,33600000.0,50100000.0,83700000.0
73,Piranha 3D,25000000.0,58200000.0,83200000.0
74,Oceans,19400000.0,63200000.0,82600000.0
75,Edge of Darkness,43300000.0,37800000.0,81100000.0
76,Vampires Suck,36700000.0,43900000.0,80600000.0
77,Letters to Juliet,53000000.0,26100000.0,79100000.0
78,The Back-Up Plan,37500000.0,40000000.0,77500000.0
79,If You Are the One 2 (Fei Cheng Wu Rao II),427000.0,75600000.0,76027000.0
80,Diary of a Wimpy Kid,64000000.0,11700000.0,75700000.0
81,Easy A,58400000.0,16600000.0,75000000.0
82,Hubble 3D,52400000.0,21500000.0,73900000.0
83,Takers,57700000.0,11300000.0,69000000.0
84,Tales from Earthsea,48500.0,68600000.0,68648500.0
85,Legion (2010),40200000.0,27800000.0,68000000.0
86,The American,35600000.0,32299999.0,67899999.0
87,The Last Exorcism,41000000.0,26700000.0,67700000.0
88,The Next Three Days,21100000.0,46300000.0,67400000.0
89,The Girl Who Played with Fire,7600000.0,59500000.0,67100000.0
90,Skyline,21400000.0,45400000.0,66800000.0
91,Hot Tub Time Machine,50300000.0,14300000.0,64600000.0
92,Devil,33600000.0,29100000.0,62700000.0
93,127 Hours,18300000.0,42400000.0,60700000.0
94,Tyler Perry's Why Did I Get Married Too?,60100000.0,578000.0,60678000.0
95,Secretariat,59700000.0,537000.0,60237000.0
96,The Ghost Writer,15500000.0,44700000.0,60200000.0
97,Morning Glory,31000000.0,29000000.0,60000000.0
98,Remember Me,19100000.0,37000000.0,56100000.0
99,Cop Out,44900000.0,10700000.0,55600000.0
100,The Crazies,39100000.0,15700000.0,54800000.0
101,From Paris with Love,24100000.0,28700000.0,52800000.0
102,Daybreakers,30100000.0,21300000.0,51400000.0
103,Alpha and Omega,25100000.0,25400000.0,50500000.0
104,The Switch,27800000.0,22100000.0,49900000.0
105,She's Out of My League,32000000.0,17800000.0,49800000.0
106,Death at a Funeral (2010),42700000.0,6300000.0,49000000.0
107,How Do You Know,30200000.0,18500000.0,48700000.0
108,Charlie St. Cloud,31200000.0,17000000.0,48200000.0
109,Scott Pilgrim vs. the World,31500000.0,16100000.0,47600000.0
110,Heartbreaker,504000.0,46900000.0,47404000.0
111,The Spy Next Door,24300000.0,20900000.0,45200000.0
112,"The Good, the Bad, the Weird",128000.0,44100000.0,44228000.0
113,Machete,26600000.0,17500000.0,44100000.0
114,The Girl Who Kicked the Hornet's Nest,5200000.0,38300000.0,43500000.0
115,The Man From Nowhere,528000.0,42500000.0,43028000.0
116,When in Rome,32700000.0,10400000.0,43100000.0
117,My Name is Khan,4000000.0,38300000.0,42300000.0
118,Going the Distance,17800000.0,24200000.0,42000000.0
119,The Concert,658000.0,40500000.0,41158000.0
120,Agora,619000.0,38400000.0,39019000.0
121,For Colored Girls,37700000.0,17300.0,37717300.0
122,Brooklyn's Finest,27200000.0,9300000.0,36500000.0
123,Furry Vengeance,17600000.0,18600000.0,36200000.0
124,Faster,23200000.0,12400000.0,35600000.0
125,The Kids Are All Right,20800000.0,13900000.0,34700000.0
126,You Will Meet a Tall Dark Stranger,3200000.0,31000000.0,34200000.0
127,The Secret in Their Eyes,6400000.0,27600000.0,34000000.0
128,Avatar: Special Edition,10700000.0,22500000.0,33200000.0
129,Leap Year,25900000.0,6700000.0,32600000.0
130,You Again,25700000.0,6300000.0,32000000.0
131,Mesrine: Killer Instinct,552000.0,30500000.0,31052000.0
132,The Losers,23600000.0,5800000.0,29400000.0
133,Case 39,13300000.0,14900000.0,28200000.0
134,Ramona and Beezus,26200000.0,1100000.0,27300000.0
135,Splice,17000000.0,9800000.0,26800000.0
136,Fair Game (2010),9500000.0,14600000.0,24100000.0
137,Let Me In,12100000.0,12000000.0,24100000.0
138,Mao's Last Dancer,4800000.0,17500000.0,22300000.0
139,Just Wright,21500000.0,29900.0,21529900.0
140,Our Family Wedding,20300000.0,1200000.0,21500000.0
141,My Soul to Take,14700000.0,6200000.0,20900000.0
142,71 Into the Fire,177000.0,20800000.0,20977000.0
143,"I Love You, Phillip Morris",2000000.0,18700000.0,20700000.0
144,Country Strong,20200000.0,310000.0,20510000.0
145,Another Year,3200000.0,16500000.0,19700000.0
146,Youth in Revolt,15300000.0,4400000.0,19700000.0
147,Buried,1000000.0,18100000.0,19100000.0
148,[Rec] 2,27800.0,18500000.0,18527800.0
149,Repo Men,13800000.0,4600000.0,18400000.0
150,A Prophet (Un prophète),2100000.0,15800000.0,17900000.0
151,Soul Kitchen,277000.0,17600000.0,17877000.0
152,Mother (2010),552000.0,16600000.0,17152000.0
153,Micmacs,1300000.0,15100000.0,16400000.0
154,The Nutcracker in 3D,195000.0,16000000.0,16195000.0
155,Sea Rex 3D: Journey to a Prehistoric World,6100000.0,9900000.0,16000000.0
156,I Hate Luv Storys,848000.0,14900000.0,15748000.0
157,Extraordinary Measures,12100000.0,3100000.0,15200000.0
158,Somewhere,1800000.0,12200000.0,14000000.0
159,Winter's Bone,6500000.0,7300000.0,13800000.0
160,The Last Station,6600000.0,6900000.0,13500000.0
161,Raajneeti,1500000.0,11100000.0,12600000.0
