,movie_id,averagerating,original_title,genres
0,tt10356526,8.3,Laiye Je Yaarian,Romance
1,tt10384606,8.9,Borderless,Documentary
2,tt1042974,6.4,Just Inès,Drama
3,tt1043726,4.2,The Legend of Hercules,"Action,Adventure,Fantasy"
4,tt1060240,6.5,Até Onde?,"Mystery,Thriller"
5,tt1069246,6.2,Habana Eva,"Comedy,Romance"
6,tt1094666,7.0,Hamill,"Biography,Drama,Sport"
7,tt1130982,6.4,Avant l'aube,"Drama,Thriller"
8,tt1156528,7.2,Circus Fantasticus,"Drama,War"
9,tt1161457,4.2,The Vanquisher,"Action,Adventure,Sci-Fi"
10,tt1171222,5.1,Baggage Claim,Comedy
11,tt1174693,5.8,The Four-Faced Liar,"Comedy,Drama,Romance"
12,tt1181840,7.0,Jack et la mécanique du coeur,"Adventure,Animation,Drama"
13,tt1193623,8.0,Buried Prayers,Documentary
14,tt1199588,5.5,Black Widow,Thriller
15,tt1204784,5.8,Maverick and Ariel's First Ever Ever Movie Hollywood or Else... (Ang pinakamahabang title ng movie sa balat ng lupa),Comedy
16,tt1210166,7.6,Moneyball,"Biography,Drama,Sport"
17,tt1212419,6.5,Hereafter,"Drama,Fantasy,Romance"
18,tt1220911,5.0,Pourquoi j'ai pas mangé mon père,"Adventure,Animation,Comedy"
19,tt1229238,7.4,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller"
20,tt1232829,7.2,21 Jump Street,"Action,Comedy,Crime"
21,tt1235548,6.6,VIPs,"Biography,Drama"
22,tt1243974,5.4,Aloha,"Comedy,Drama,Romance"
23,tt1250861,6.2,Under the Boardwalk: The Monopoly Story,"Documentary,History,Sport"
24,tt1258812,4.0,War of the Gods,"Documentary,War"
25,tt1261945,4.4,Sex and the City 2,"Comedy,Drama,Romance"
26,tt1266037,7.0,Quartier lointain,"Drama,Fantasy"
27,tt1270291,5.8,Hunter Prey,"Sci-Fi,Thriller"
28,tt1270761,5.6,Don't Be Afraid of the Dark,"Fantasy,Horror,Thriller"
29,tt1272886,6.1,Small Apartments,"Comedy,Crime,Drama"
30,tt1274297,5.4,Matrimoni e altri disastri,Comedy
31,tt1283887,5.4,Burning Palms,"Comedy,Thriller"
32,tt1285219,3.4,Ghosts Don't Exist,Horror
33,tt1287879,7.7,Stripped: Greg Friedler's Naked Las Vegas,Documentary
34,tt1290476,7.2,Obituary of the Sun,"Drama,Thriller"
35,tt1294141,4.5,Dancing Ninja,"Action,Comedy,Crime"
36,tt1320239,6.2,Burke and Hare,"Comedy,Crime,History"
37,tt1322312,6.3,Going the Distance,"Comedy,Romance"
38,tt1323962,5.1,Andrey Iskanov's Ingression,Horror
39,tt1325014,6.7,The People vs. George Lucas,"Comedy,Documentary"
40,tt1325019,7.2,The Custom Mary,Drama
41,tt1326743,8.4,California State of Mind: The Legacy of Pat Brown,"Biography,Documentary"
42,tt1327602,7.8,Two Days in February,"Drama,Romance"
43,tt1328913,5.2,Preacher's Kid,"Drama,Music,Romance"
44,tt1331329,3.6,The Final Storm,"Action,Horror,Thriller"
45,tt1332570,2.1,Night Terrors,"Comedy,Horror"
46,tt1343110,2.5,Speed-Dating,Comedy
47,tt1343740,4.6,Paradox,"Sci-Fi,Thriller"
48,tt1346690,7.7,Music Makes a City: A Louisville Orchestra Story,Documentary
49,tt1352393,7.7,Pequeno Segredo,"Biography,Drama"
50,tt1358596,7.7,Life: A Documentary,"Biography,Documentary"
51,tt1360829,5.0,The Shouting Men,"Comedy,Drama"
52,tt1368858,5.4,The Forger,Drama
53,tt1374988,6.1,Lipstikka,"Drama,Thriller"
54,tt1376213,5.4,The Adventurer: The Curse of the Midas Box,"Adventure,Family,Fantasy"
55,tt1378667,7.5,Florent: Queen of the Meat Market,Documentary
56,tt1379736,5.7,Cesado,Drama
57,tt1381418,5.4,You May Not Kiss the Bride,"Action,Comedy,Crime"
58,tt1400515,3.5,Don't Let Him In,"Horror,Thriller"
59,tt1403981,7.1,Remember Me,"Drama,Romance"
60,tt1403990,8.5,A Date with Fear,"Comedy,Drama,Thriller"
61,tt1404830,5.3,The Bannen Way,"Action,Comedy,Crime"
62,tt1409015,8.2,Greenlit,Documentary
63,tt1417086,7.5,Michel Petrucciani,"Documentary,Music"
