,movie_id,averagerating,title,genres,domestic_gross,foreign_gross,total_gross
3,tt1043726,4.2,The Legend of Hercules,"Action,Adventure,Fantasy",18800000.0,42400000.0,61200000.0
10,tt1171222,5.1,Baggage Claim,Comedy,21600000.0,887000.0,22487000.0
16,tt1210166,7.6,Moneyball,"Biography,Drama,Sport",75600000.0,34600000.0,110200000.0
17,tt1212419,6.5,Hereafter,"Drama,Fantasy,Romance",32700000.0,72500000.0,105200000.0
19,tt1229238,7.4,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller",209400000.0,485300000.0,694700000.0
20,tt1232829,7.2,21 Jump Street,"Action,Comedy,Crime",138400000.0,63100000.0,201500000.0
22,tt1243974,5.4,Aloha,"Comedy,Drama,Romance",21100000.0,5200000.0,26300000.0
25,tt1261945,4.4,Sex and the City 2,"Comedy,Drama,Romance",95300000.0,193000000.0,288300000.0
28,tt1270761,5.6,Don't Be Afraid of the Dark,"Fantasy,Horror,Thriller",24000000.0,12900000.0,36900000.0
36,tt1320239,6.2,Burke and Hare,"Comedy,Crime,History",4800.0,4300000.0,4304800.0
37,tt1322312,6.3,Going the Distance,"Comedy,Romance",17800000.0,24200000.0,42000000.0
59,tt1403981,7.1,Remember Me,"Drama,Romance",19100000.0,37000000.0,56100000.0
89,tt1499658,6.9,Horrible Bosses,"Comedy,Crime",117500000.0,92100000.0,209600000.0
107,tt1535109,7.8,Captain Phillips,"Biography,Drama,Thriller",107100000.0,111700000.0,218800000.0
119,tt1549572,7.0,Another Earth,"Drama,Romance,Sci-Fi",1300000.0,456000.0,1756000.0
138,tt1584131,3.7,The Last Godfather,"Comedy,Crime,Romance",164000.0,16600000.0,16764000.0
153,tt1608290,4.7,Zoolander 2,Comedy,28800000.0,27900000.0,56700000.0
169,tt1629757,7.2,Chasing Mavericks,"Biography,Drama,Sport",6000000.0,600.0,6000600.0
177,tt1640484,5.7,Jumping the Broom,"Comedy,Drama",37300000.0,415000.0,37715000.0
184,tt1655416,6.2,Mental,"Comedy,Drama",17700.0,3600000.0,3617700.0
185,tt1655420,7.0,My Week with Marilyn,"Biography,Drama",14600000.0,20500000.0,35100000.0
187,tt1659343,5.1,Universal Soldier: Day of Reckoning,"Action,Horror,Mystery",5500.0,364000.0,369500.0
189,tt1661420,7.3,Polisse,"Crime,Drama",211000.0,20200000.0,20411000.0
193,tt1663202,8.0,The Revenant,"Action,Adventure,Biography",183600000.0,349300000.0,532900000.0
209,tt1680045,6.2,360,"Drama,Thriller",100000.0,1600000.0,1700000.0
246,tt1728986,5.5,Bol Bachchan,"Action,Comedy,Drama",1200000.0,27600000.0,28800000.0
339,tt0985694,6.6,Machete,"Action,Crime,Thriller",26600000.0,17500000.0,44100000.0
341,tt10075374,8.3,The Little Prince,Action,1300000.0,96200000.0,97500000.0
383,tt6769280,5.7,Time Freak,"Comedy,Drama,Romance",10000.0,256000.0,266000.0
408,tt6925204,5.4,Genius,Drama,1400000.0,4300000.0,5700000.0
496,tt7433980,6.8,Last Night,Drama,99000.0,7600000.0,7699000.0
540,tt7690670,5.0,Superfly,"Action,Crime,Thriller",20500000.0,236000.0,20736000.0
729,tt0879870,5.8,Eat Pray Love,"Drama,Romance",80600000.0,124000000.0,204600000.0
730,tt0892318,6.6,Letters to Juliet,"Adventure,Comedy,Drama",53000000.0,26100000.0,79100000.0
752,tt1092634,6.4,Shanghai,"Crime,Drama,Mystery",46400.0,9200000.0,9246400.0
760,tt1228705,7.0,Iron Man 2,"Action,Adventure,Sci-Fi",312400000.0,311500000.0,623900000.0
761,tt1230120,5.5,Collide,Action,2300000.0,2500000.0,4800000.0
804,tt1440161,6.3,A Little Bit of Heaven,"Comedy,Drama,Fantasy",15400.0,1300000.0,1315400.0
808,tt1458730,7.3,Brooklyn,"Comedy,Crime",38300000.0,23800000.0,62100000.0
812,tt1489889,6.3,Central Intelligence,"Action,Comedy,Crime",127400000.0,89500000.0,216900000.0
867,tt1590193,6.3,The Commuter,"Action,Mystery,Thriller",36300000.0,83600000.0,119900000.0
876,tt1596753,6.7,Salinger,Documentary,584000.0,67000.0,651000.0
880,tt1601913,6.8,The Grey,"Action,Adventure,Drama",51600000.0,25700000.0,77300000.0
