,Unnamed: 0,id,original_language,popularity,title,rating
0,0,12444,en,33.533,Harry Potter and the Deathly Hallows: Part 1,7.7
1,1,10191,en,28.734,How to Train Your Dragon,7.7
2,2,10138,en,28.515,Iron Man 2,6.8
3,3,862,en,28.005,Toy Story,7.9
4,4,27205,en,27.92,Inception,8.3
5,5,32657,en,26.691,Percy Jackson & the Olympians: The Lightning Thief,6.1
6,6,19995,en,26.526,Avatar,7.4
7,7,10193,en,24.445,Toy Story 3,7.7
8,8,20352,en,23.673,Despicable Me,7.2
9,9,38055,en,22.855,Megamind,6.8
10,10,863,en,22.698,Toy Story 2,7.5
11,11,12155,en,22.02,Alice in Wonderland,6.6
12,12,27578,en,21.517,The Expendables,6.1
13,13,38757,en,21.511,Tangled,7.5
14,14,41439,en,20.37,Saw: The Final Chapter,6.0
15,15,24021,en,20.34,The Twilight Saga: Eclipse,6.0
16,16,20504,en,18.985,The Book of Eli,6.7
17,17,52371,nl,18.586,LelleBelle,4.5
18,18,2502,en,18.199,The Bourne Supremacy,7.3
19,19,11324,en,18.06,Shutter Island,8.1
20,20,2501,en,17.935,The Bourne Identity,7.4
21,21,37834,en,17.713,Knight and Day,6.0
22,22,10140,en,17.382,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3
23,23,41233,en,17.174,Step Up 3D,6.7
24,24,34544,en,17.097,The A-Team,6.3
25,25,45269,en,16.798,The King's Speech,7.7
26,26,9737,en,16.608,Bad Boys,6.6
27,27,10196,en,16.595,The Last Airbender,4.6
28,28,34851,en,16.216,Predators,6.1
29,29,37799,en,15.889,The Social Network,7.2
30,30,38234,en,15.886,Undisputed III: Redemption,7.4
31,31,568,en,15.855,Apollo 13,7.4
32,32,95,en,15.799,Armageddon,6.7
33,33,2503,en,15.62,The Bourne Ultimatum,7.4
34,34,18823,en,15.574,Clash of the Titans,5.7
35,35,34806,en,15.49,The Back-Up Plan,6.0
36,36,20662,en,15.444,Robin Hood,6.3
37,37,35019,en,15.213,Nanny McPhee and the Big Bang,6.1
38,38,10192,en,15.041,Shrek Forever After,6.1
39,39,37735,en,14.69,Easy A,6.8
40,40,27022,en,14.463,The Sorcerer's Apprentice,5.9
41,41,22538,en,14.383,Scott Pilgrim vs. the World,7.3
42,42,38365,en,14.291,Grown Ups,6.1
43,43,239,en,14.2,Some Like It Hot,8.2
44,44,41283,en,14.172,Faster,6.2
45,45,7978,en,14.03,The Wolfman,5.7
46,46,44048,en,14.01,Unstoppable,6.4
47,47,44214,en,13.745,Black Swan,7.6
48,48,44683,en,13.724,Tinker Bell and the Great Fairy Rescue,6.5
49,49,61979,es,13.721,Three Steps Above Heaven,7.5
50,50,23759,en,13.548,Centurion,6.1
51,51,27581,en,13.508,The Other Guys,6.2
52,52,23168,en,13.476,The Town,7.1
53,53,20533,en,13.467,Jonah Hex,4.6
54,54,20526,en,13.459,TRON: Legacy,6.3
55,55,9543,en,13.44,Prince of Persia: The Sands of Time,6.2
56,56,9994,en,13.348,The Great Mouse Detective,7.1
57,57,7980,en,13.285,The Lovely Bones,6.8
58,58,705,en,13.163,All About Eve,8.2
59,59,44264,en,13.118,True Grit,7.2
60,60,43947,en,13.102,I Spit on Your Grave,6.3
61,61,23483,en,13.08,Kick-Ass,7.1
62,62,51888,en,13.062,Robot Chicken: Star Wars Episode III,7.5
63,63,27576,en,13.025,Salt,6.3
64,64,47626,en,13.013,Legend of the BoneKnapper Dragon,6.4
65,65,26389,en,12.862,From Paris with Love,6.2
66,66,40662,en,12.704,Batman: Under the Red Hood,7.7
67,67,42949,en,12.679,Arthur 3: The War of the Two Worlds,5.6
68,68,23023,en,12.65,Tooth Fairy,5.3
69,69,23631,en,12.557,Machete,6.3
70,70,25376,es,12.531,The Secret in Their Eyes,7.9
71,71,35056,en,12.498,Date Night,6.0
72,72,41733,en,12.445,Due Date,6.3
73,73,31867,en,12.437,Repo Men,6.2
74,74,43641,en,12.395,Superman/Shazam!: The Return of Black Adam,7.1
75,75,28874,ja,12.275,Summer Wars,7.5
76,76,38575,en,12.256,The Karate Kid,6.3
77,77,33217,en,12.256,Diary of a Wimpy Kid,6.0
78,78,29427,en,12.246,The Crazies,6.2
79,79,33613,sv,12.235,The Girl Who Kicked the Hornet's Nest,7.0
80,80,39451,en,12.153,Little Fockers,5.6
81,81,39514,en,12.082,RED,6.6
82,82,22971,en,12.048,Dear John,6.8
83,83,22894,en,12.032,Legion,5.3
84,84,37933,ja,12.005,Tales from Earthsea,6.6
85,85,25195,en,11.821,Leap Year,6.7
86,86,38408,en,11.806,Life As We Know It,6.8
87,87,24253,sv,11.655,The Girl Who Played with Fire,7.0
88,88,38363,en,11.624,Fair Game,6.6
89,89,44244,en,11.542,Camp Rock 2: The Final Jam,6.1
90,90,22972,en,11.519,Green Zone,6.4
91,91,30061,en,11.498,Justice League: Crisis on Two Earths,7.2
92,92,23169,en,11.453,Remember Me,7.1
93,93,44115,en,11.435,127 Hours,7.0
